Hash,Tree,Array
1000,223012,919979,788391
51000,13704979,84496964,54579643
101000,36957684,283897257,167736946
151000,57110491,378956681,258318175
201000,94720618,688190961,387539513
251000,129654651,786718376,619657902
301000,138904751,949902862,649669222
351000,198851885,1204777179,1130172179
401000,209198831,1422791049,920695241
451000,226842874,1522238456,1042772818
501000,377992316,2150995443,1309560724
551000,295197767,2089858352,1414304839
601000,343767518,2454569399,1774182306
651000,351546487,2417627969,1653546006
701000,376540880,2635953098,1810887372
751000,410070752,2896593030,2003410003
801000,446932838,3127736025,2168044543
851000,471062152,3423460596,2358257415
901000,506237844,3574070323,2509846608
951000,528781411,3795655465,2663395010
