Hash,Tree
1000,355227,812694
51000,16330892,959902944
101000,50160720,4051126118
151000,134965429,9663443504
201000,186482808,16039914894
251000,275335481,25787990391
301000,383279474,41007827919
351000,508339906,57743530919
401000,630731216,70781816431
451000,782958111,92675929955
501000,968764768,110732366534
551000,1269171777,143952477912
601000,1356613356,150114821794
651000,1575345517,176266764948
701000,1823835159,211019897048
751000,2088483916,258228782742
801000,2370669655,298756148984
851000,2668607345,350043750254
901000,2984467869,407766888734
951000,3306859543,471176715470
